FunctionName,min,avg,median,max,#calls
addAdmin,31655,31655,31655,31655,1
addAmbulance,29647,29647,29647,29647,1
addHospital,29581,29581,29581,29581,1
addInitiator,29603,29603,29603,29603,1
isAdmin,570,570,570,570,1
isAmbulance,504,504,504,504,1
isHospital,525,525,525,525,1
isInitiator,569,569,569,569,1
removeAdmin,800,800,800,800,1
removeAmbulance,836,836,836,836,1
removeHospital,836,836,836,836,1
removeInitiator,871,871,871,871,1
src/Accounts.sol:Accountscontract,,,,,
DeploymentCost,DeploymentSize,,,,
804374,3966,,,,
FunctionName,min,avg,median,max,#calls
addAdmin,21655,22155,21655,31655,20
addAmbulance,21647,22047,21647,29647,20
addHospital,21581,21981,21581,29581,20
addInitiator,21603,22003,21603,29603,20
isAdmin,570,570,570,570,20
isAmbulance,504,504,504,504,20
isHospital,525,525,525,525,20
isInitiator,569,569,569,569,20
removeAdmin,800,800,800,800,20
removeAmbulance,836,836,836,836,20
removeHospital,836,836,836,836,20
removeInitiator,871,871,871,871,20
src/Accounts.sol:Accountscontract,,,,,
DeploymentCost,DeploymentSize,,,,
804374,3966,,,,
FunctionName,min,avg,median,max,#calls
addAdmin,21655,21755,21655,31655,100
addAmbulance,21647,21727,21647,29647,100
addHospital,21581,21661,21581,29581,100
addInitiator,21603,21683,21603,29603,100
isAdmin,570,570,570,570,100
isAmbulance,504,504,504,504,100
isHospital,525,525,525,525,100
isInitiator,569,569,569,569,100
removeAdmin,800,800,800,800,100
removeAmbulance,836,836,836,836,100
removeHospital,836,836,836,836,100
removeInitiator,871,871,871,871,100
src/Accounts.sol:Accountscontract,,,,,
DeploymentCost,DeploymentSize,,,,
804374,3966,,,,
FunctionName,min,avg,median,max,#calls
addAdmin,21655,21675,21655,31655,500
addAmbulance,21647,21663,21647,29647,500
addHospital,21581,21597,21581,29581,500
addInitiator,21603,21619,21603,29603,500
isAdmin,570,570,570,570,500
isAmbulance,504,504,504,504,500
isHospital,525,525,525,525,500
isInitiator,569,569,569,569,500
removeAdmin,800,800,800,800,500
removeAmbulance,836,836,836,836,500
removeHospital,836,836,836,836,500
removeInitiator,871,871,871,871,500
