addAdmin, addAmbulance, addInitiator, addHospital, isAdmin, isAmbulance, isInitiator, isHosptial, removeAmbulance, removeInitiator, removeHospital, removeAdmin
36,32,31,29,9,8,5,6,28,30,26,28
30,29,30,27,6,8,5,6,26,29,28,31
32,30,36,37,6,6,6,6,28,29,26,28
28,33,27,30,6,5,6,6,26,29,27,29
29,33,28,30,5,5,6,5,26,31,46,29
32,29,30,30,5,5,5,5,30,27,26,29
29,31,27,33,5,5,5,5,30,33,30,28
34,29,28,29,5,8,5,5,30,27,33,29
37,28,30,27,9,5,6,6,29,27,30,26
30,30,31,28,5,5,6,6,29,26,29,27
36,31,30,26,5,5,10,5,30,25,31,27
30,28,29,29,5,5,6,5,30,27,31,26
35,27,31,28,6,6,5,5,30,27,30,30
35,30,35,31,5,7,6,6,26,30,28,26
32,28,31,27,5,7,7,5,26,28,30,26
32,29,30,29,5,5,8,8,29,33,30,29
29,31,33,25,9,7,5,4,28,31,26,27
33,27,31,31,5,5,9,7,25,28,31,26
33,30,31,27,5,7,9,5,27,28,28,26
35,30,30,28,4,10,8,5,26,36,23,28
